,gene_0,gene_1,gene_2,gene_3,euclidean distance,close/far,% optimal genes,quality,fitness
1,0.8587757328148832,0.8587757328148832,0.8587757328148832,0.8587757328148832,0.7175514656297663,equal,0.0,best,0.5148801058274257
2,0.9916288010283818,0.9916288010283818,0.9916288010283818,0.0,0.9874698142231045,equal,0.25,best,0.9750966340018127
3,1.2144922883837013,1.2144922883837013,0.0,0.0,1.2332876632479368,equal,0.5,best,1.5209984603195563
4,1.7175514656297663,0.0,0.0,0.0,1.4941323808341722,equal,0.75,best,2.232431571457192
5,2.5320349568310476,2.5320349568310476,2.5320349568310476,2.5320349568310476,4.064069913662095,equal,0.0,lower quartile,16.516664263133432
6,2.9237421278478957,2.9237421278478957,2.9237421278478957,0.0,4.227715424069356,equal,0.25,lower quartile,17.873577706913935
7,3.5808381763532418,3.5808381763532418,0.0,0.0,4.413969612236942,equal,0.5,lower quartile,19.483127737751136
8,5.064069913662095,0.0,0.0,0.0,4.645506880502442,equal,0.75,lower quartile,21.580734176795527
9,3.1862946116826674,3.1862946116826674,3.1862946116826674,3.1862946116826674,5.372589223365335,equal,0.0,median,28.86471496302133
10,3.6792161035448845,3.6792161035448845,3.6792161035448845,0.0,5.5292174038572,equal,0.25,median,30.572245099117353
11,4.506101053557943,4.506101053557943,0.0,0.0,5.70943879051489,equal,0.5,median,32.59769130263612
12,6.372589223365335,0.0,0.0,0.0,5.9361017668489025,equal,0.75,median,35.237304186386666
13,3.513386343361021,3.513386343361021,3.513386343361021,3.513386343361021,6.026772686722042,equal,0.0,upper quartile,36.32198901741882
14,4.056909102213281,4.056909102213281,4.056909102213281,0.0,6.181003727892668,equal,0.25,upper quartile,38.20480708422306
15,4.968678616637572,4.968678616637572,0.0,0.0,6.359101914389151,equal,0.5,upper quartile,40.438177157587766
16,7.026772686722042,0.0,0.0,0.0,6.583977650641052,equal,0.75,upper quartile,43.34876170414086
17,6.78171747661831,6.78171747661831,6.78171747661831,6.78171747661831,12.56343495323662,equal,0.0,worst,157.8398978242076
18,7.830852821387142,7.830852821387142,7.830852821387142,0.0,12.707250263787182,equal,0.25,worst,161.47420926651944
19,9.590796831616256,9.590796831616256,0.0,0.0,12.875759164703583,equal,0.5,worst,165.7851740674483
20,13.56343495323662,0.0,0.0,0.0,13.092109561772093,equal,0.75,worst,171.40333277744423
